Year,Bananas,"Cassava, fresh","Coffee, green",Tea leaves,avg_temperature,Agrifood Systems Waste Disposal,Burning - Crop residues,Crop Residues,Drained organic soils,Drained organic soils (CO2),Drained organic soils (N2O),Energy,Enteric Fermentation,Fires in humid tropical forests,Fires in organic soils,Food Household Consumption,Food Packaging,Food Processing,Food Retail,Food Transport,Forest fires,Forestland,IPPU,Manure Management,Manure applied to Soils,Manure left on Pasture,Net Forest conversion,On-farm energy use,Other,Pesticides Manufacturing,Rice Cultivation,Savanna fires,Synthetic Fertilizers,Waste
2004,9715.1,6614.5,317.6,2457.7,0.6067941176470588,781.55248,21.3816,49.99736,1444.0614,1387.2984,37.913399999999996,5079.623316666667,4368.8922999999995,441.75864,0.0,28.16785,1.8260666666666667,1.1026166666666668,121.73114285714284,83.13215000000001,449.96333999999996,-1132.78,846.7587800000001,136.5185857142857,73.44792,1238.95354,40610.7294,0.5248499999999999,236.7603333333333,1.5177666666666667,53.5135,972.75144,91.80744999999999,1473.02002
2005,9625.6,10577.1,327.9,2593.4,0.6972058823529412,792.4127599999999,20.98314,54.3172,1444.0614,1387.2984,37.913399999999996,4959.773566666667,4429.4605,938.44434,0.0,29.241883333333334,2.7525166666666667,1.7899333333333332,127.76232857142857,81.29646666666666,942.52656,-1132.78,853.1360400000001,137.88937142857142,74.02248,1259.95688,40610.7294,0.7913333333333333,339.7073666666667,4.735,59.85,1561.71702,63.039525,1523.4159800000002
2006,9863.8,10754.8,311.5,2588.2,0.6655882352941176,802.80472,23.47122,59.60527999999999,1449.5853,1392.6368,38.0373,4760.979333333334,4437.5583,323.77727999999996,0.0,29.552300000000002,5.636666666666667,4.030833333333334,127.15072857142857,68.39415000000001,329.31972,-1132.78,867.8659599999999,139.00977142857144,75.22482,1267.79856,40610.7294,1.6994833333333332,227.5554666666667,5.238616666666666,66.5,1064.4997799999999,70.25810000000001,1576.39136
2007,16999.9,14000.0,318.6,2594.2,0.5153235294117647,813.9019599999999,27.44418,66.36166,1455.2103,1398.0233,38.1966,5275.10225,4439.469700000001,334.61082,0.0,37.11506666666667,9.787683333333334,7.727016666666667,128.38024285714286,79.01046666666667,339.46758,-1132.78,925.13848,140.88832857142856,76.73568,1271.28848,40610.7294,2.1397999999999997,203.32330000000002,2.886233333333333,90.79719999999999,928.61502,61.723425000000006,1634.54592
2008,17000.0,14000.0,316.8,2600.2,0.4717941176470588,826.04694,28.899060000000002,69.18126,1465.8224,1408.2379,38.4621,5521.90665,3877.824,476.14205999999996,0.0,40.419266666666665,10.617483333333334,6.842016666666667,135.0099285714286,80.92978333333333,478.4964,-1132.78,842.0153600000001,131.40005714285715,74.7992,1126.00992,40610.7294,2.8781833333333338,239.93183333333334,2.088983333333333,95.7752,1095.5607,63.371875,1693.8380000000002
2009,17013.9,13952.8,310.5,2606.2,0.6798529411764705,838.7431,33.28188,77.32088,1504.0137,1444.9187,39.471,6019.284966666666,3854.0606999999995,302.50506,0.0,42.91798333333333,16.180983333333334,10.210566666666667,111.42477142857145,93.08173333333333,304.39278,-1132.78,816.99524,136.36177142857142,79.08712,1118.87048,40610.7294,3.3812999999999995,210.3611,1.656866666666667,65.1852,921.8196599999999,70.0188,1754.59284
2010,17295.8,14063.6,310.6,2612.2,0.7253529411764705,847.3973600000002,36.185159999999996,85.68392000000001,1528.6429,1468.5939,40.108200000000004,5713.555983333335,3864.0205,423.92016,0.0,48.17125000000001,17.45985,11.404933333333332,116.49625714285715,98.85321666666665,426.2259,-1132.78,796.1296399999999,157.9433,97.22832000000001,1129.1380800000002,40610.7294,4.196549999999999,222.13013333333333,3.393333333333333,186.16769999999997,968.4042,70.470775,1819.00484
2011,12244.1,14572.0,312.3,2618.2,0.4261470588235294,860.0474,33.28302,84.91784,1547.1317,1486.3407,40.6038,5445.165716666666,3992.413,397.44036,0.0,51.8627,7.261616666666666,9.7083,90.97995714285715,105.01746666666668,400.72794,-1132.78,807.5749599999999,165.8913142857143,102.61215999999999,1167.37824,32850.62,3.6114999999999995,204.0719,2.97115,171.9633,726.2144999999999,102.3495,1886.12548
2012,13668.5,11538.8,313.4,2624.1,0.3808235294117647,871.03472,42.49314,88.56736000000001,1565.1623,1503.6823,41.064,5360.907716666667,4241.8469,337.80576,0.0,54.59186666666667,7.464166666666667,9.9831,83.98691428571429,111.90441666666668,340.46688,-1132.78,812.78046,145.31932857142857,83.22608,1236.7404,32850.62,3.7165999999999997,194.0429,4.342083333333334,170.088,642.37926,77.86217500000001,1953.9274400000002
2013,14000.0,14789.4,313.9,2630.1,0.5456764705882353,883.14858,36.13236,89.31215999999999,1577.4703,1515.5133,41.382600000000004,5644.923966666666,4436.8135,339.48618,0.0,62.6543,10.17485,14.111133333333335,80.14454285714285,119.13175000000001,342.51558,-1132.78,908.9872799999999,148.87805714285716,84.30072,1293.62184,32850.62,5.199066666666667,200.49966666666668,24.36938333333333,221.75660000000002,578.73306,102.7483,2025.68474
